type,subtype,city,street,pubMillis
road_closed,road_closed_event,maipú,longitudinal,1744948884000
road_closed,road_closed_event,conchalí,av. independencia,1717680214000
road_closed,road_closed_event,cerro navia,vicuña rozas,1746657375000
hazard,hazard_on_road_pot_hole,cerrillos,av. salvador allende,1748951947000
hazard,hazard_on_road_pot_hole,maipú,ernesto pinto lagarrigue,1748953081000
police,police_with_mobile_camera,santiago,av. libertador bernardo o'higgins,1748965855000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
police,,santiago,hermanos amunátegui,1748966591000
chit_chat,,santiago,av. libertador bernardo o'higgins,1748965635000
police,,santiago,av. almirante blanco encalada,1748966327000
road_closed,road_closed_event,estación central,iquique,1748732535000
chit_chat,,santiago,agustinas,1748965487000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
police,,santiago,bascuñán guerrero,1748964494000
hazard,hazard_on_road_construction,maipú,av. américo vespucio,1748963788000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
hazard,hazard_on_shoulder_car_stopped,pudahuel,camino lo boza,1748965293000
road_closed,road_closed_event,maipú,longitudinal,1743690902000
chit_chat,,santiago,21 de mayo,1748966353000
police,,lo prado,los lirios,1748966477000
chit_chat,,pedro aguirre cerda,la rural,1748965453000
hazard,hazard_on_road_pot_hole,maipú,cordillera de los andes,1748952963000
hazard,hazard_on_road_pot_hole,maipú,idumea,1748286512000
hazard,hazard_on_shoulder_car_stopped,estación central,av. las parcelas,1748966019000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
police,,quinta normal,radal,1748966836000
hazard,hazard_on_road_pot_hole,pudahuel,av. claudio arrau,1748612705000
hazard,hazard_on_road_pot_hole,independencia,las cañas,1748962902000
road_closed,road_closed_event,conchalí,negrete,1734447547000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
hazard,hazard_on_road_pot_hole,maipú,av. las parcelas,1748966657000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
jam,jam_stand_still_traffic,estación central,av. libertador bernardo o'higgins,1748965356000
police,,cerrillos,av. salvador allende,1748964525000
hazard,hazard_on_road_pot_hole,quinta normal,santo domingo,1748434758000
road_closed,road_closed_event,conchalí,av. independencia,1717680414000
hazard,hazard_on_road_construction,estación central,av. suiza,1748962376000
hazard,hazard_on_road_pot_hole,independencia,av. fermín vivaceta,1748966852000
jam,jam_stand_still_traffic,independencia,dr. carlos lorca tobar,1748965712000
road_closed,road_closed_event,pudahuel,av. claudio arrau,1747319655000
chit_chat,,maipú,av. pajaritos,1748965377000
road_closed,road_closed_event,quinta normal,mapocho,1748965468000
hazard,hazard_on_road_pot_hole,conchalí,av. independencia,1748965058000
road_closed,road_closed_event,pudahuel,av. san pablo,1740597023000
hazard,hazard_on_shoulder_car_stopped,renca,av. dorsal,1748966666000
police,,quinta normal,samuel izquierdo,1748965201000
hazard,hazard_on_road_pot_hole,independencia,pasaje padre lópez,1748964513000
jam,jam_stand_still_traffic,santiago,av. manuel rodríguez,1748965243000
hazard,hazard_on_road_pot_hole,,av. la farfana,1748952811000
police,,conchalí,barón de juras reales,1748966136000
hazard,hazard_on_road_construction,maipú,,1748966492000
hazard,hazard_on_road_traffic_light_fault,estación central,arica,1748966110000
police,,pudahuel,diagonal travesía,1748966991000
road_closed,road_closed_event,conchalí,av. independencia,1717680414000
road_closed,road_closed_event,maipú,longitudinal,1743690902000
road_closed,road_closed_event,maipú,longitudinal,1743690902000
hazard,hazard_on_road_pot_hole,maipú,el chercán,1748358296000
hazard,hazard_on_road,quilicura,,1748965868000
police,,santiago,av. libertador bernardo o'higgins,1748965842000
road_closed,road_closed_event,conchalí,av. independencia,1717680414000
jam,jam_stand_still_traffic,,salida 0b-n > alameda / agustinas,1748965492000
road_closed,road_closed_event,maipú,av. hugo bravo,1743596805000
hazard,hazard_on_road_pot_hole,maipú,av. simón bolívar,1748962229000
hazard,hazard_on_road_traffic_light_fault,maipú,av. primera transversal,1748966406000
road_closed,road_closed_event,maipú,aves del paraíso,1744949126000
hazard,hazard_on_road_pot_hole,independencia,altamirano,1748881835000
hazard,hazard_on_road_pot_hole,maipú,cordillera de los andes,1748953100000
road_closed,road_closed_event,conchalí,av. independencia,1717680104000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
road_closed,road_closed_event,pudahuel,depósito express pudahuel,1740598655000
hazard,hazard_on_road_pot_hole,renca,puerto montt,1748518002000
road_closed,road_closed_event,pudahuel,depósito express pudahuel,1740598655000
chit_chat,,estación central,av. víctor jara,1748966742000
hazard,hazard_on_road_traffic_light_fault,independencia,gamero,1748966005000
police,,independencia,av. independencia,1748965092000
road_closed,road_closed_event,cerro navia,vicuña rozas,1746657375000
road_closed,road_closed_event,pudahuel,av. américo vespucio,1748964137000
road_closed,road_closed_event,pudahuel,depósito express pudahuel,1740598655000
road_closed,road_closed_event,pudahuel,depósito express pudahuel,1740598542000
chit_chat,,santiago,esperanza,1748966878000
hazard,hazard_on_road_object,quinta normal,av. joaquín walker martínez,1748966926000
accident,,lo prado,pedro de córdova,1748966061000
hazard,hazard_on_road,pudahuel,av. josé joaquín pérez,1748965844000
hazard,hazard_on_shoulder_car_stopped,quilicura,av. bernardo o'higgins,1748966914000
hazard,hazard_on_road_pot_hole,quilicura,av. colorado,1748552998000
road_closed,road_closed_event,maipú,longitudinal,1743690902000
jam,jam_stand_still_traffic,santiago,av. libertador bernardo o'higgins,1748966960000
police,,estación central,av. víctor jara,1748966690000
police,,estación central,av. padre alberto hurtado,1748966454000
road_closed,road_closed_event,maipú,longitudinal,1743690902000
road_closed,road_closed_event,maipú,longitudinal,1743690902000
