type,subtype,city,street,pubMillis
police,police_hiding,macul,av. el líbano,1748968392000
police,,estación central,coronel souper,1748968454000
police,,lo prado,av. general óscar bonilla,1748968458000
police,,ñuñoa,amapolas,1748968450000
accident,,santiago,santa isabel,1748968447000
police,,,salida manuel castillo > malloco,1748968459000
hazard,hazard_on_road_construction,,ruta 78,1748968433000
chit_chat,,san joaquín,av. departamental,1748968444000
hazard,hazard_on_shoulder_car_stopped,san josé de maipo,camino al volcán,1748968439000
chit_chat,,santiago,av. libertador bernardo o'higgins,1748968469000
police,,lo prado,av. general óscar bonilla,1748968477000
hazard,hazard_on_shoulder_car_stopped,,autopista costanera norte,1748968495000
hazard,hazard_on_road_construction,santiago,monjitas,1748968482000
jam,jam_stand_still_traffic,providencia,av. pocuro,1748968494000
jam,,santiago,miraflores,1748968478000
police,,la reina,hannover,1748968465000
chit_chat,,las condes,los militares,1748968470000
hazard,hazard_on_road_construction,san bernardo,eucaliptus,1748968484000
hazard,hazard_on_road,la cisterna,gran avenida josé miguel carrera,1748968483000
police,,maipú,av. esquina blanca,1748968487000
police,,la florida,av. walker martínez,1748968500000
jam,,peñalolén,mariano sánchez fontecilla,1748968503000
road_closed,,el bosque,capitán ávalos,1748968518000
hazard,hazard_on_road_object,calera de tango,santa teresa de tango,1748968533000
hazard,hazard_on_road_construction,puente alto,caletera acceso sur,1748968541000
hazard,hazard_on_road_construction,la pintana,caletera acceso sur,1748968513000
hazard,hazard_on_road,la florida,av. la florida,1748968532000
police,,maipo,pasaje el vicario,1748968533000
police,police_hiding,maipú,av. pajaritos,1748968559000
jam,jam_stand_still_traffic,conchalí,av. pedro fontova,1748968538000
hazard,hazard_on_road_pot_hole,independencia,av. la paz,1748968557000
police,,maipú,av. pajaritos,1748968551000
jam,,vitacura,,1748968544000
jam,jam_stand_still_traffic,peñaflor,av. peñaflor,1748968545000
hazard,hazard_on_shoulder_car_stopped,la florida,las camelias,1748968577000
chit_chat,,la florida,av. vicuña mackenna,1748968558000
chit_chat,,estación central,general amengual,1748968602000
chit_chat,,santiago,av. libertador bernardo o'higgins,1748968585000
jam,jam_stand_still_traffic,providencia,av. costanera andrés bello,1748968586000
road_closed,,santiago,eyzaguirre,1748968599000
road_closed,,santiago,eyzaguirre,1748968590000
hazard,hazard_on_road_construction,san bernardo,av. portales oriente,1748968611000
jam,,puente alto,av. san carlos,1748968609000
police,,san miguel,av. departamental,1748968590000
police,,san joaquín,mark twain,1748968607000
police,,buin,juan lindsay,1748968611000
chit_chat,,lo prado,av. general óscar bonilla,1748968618000
hazard,hazard_on_shoulder_car_stopped,,autopista central - eje gral. velásquez,1748968612000
police,,estación central,av. libertador bernardo o'higgins,1748968637000
hazard,hazard_on_road_construction,maipú,av. pajaritos,1748968629000
jam,jam_heavy_traffic,providencia,av. diego de almagro,1748968633000
hazard,hazard_on_shoulder_car_stopped,,ruta 78,1748968637000
jam,,,autopista central,1748968628000
police,,la cisterna,av. el parrón,1748968631000
chit_chat,,la florida,av. walker martínez,1748968633000
jam,jam_stand_still_traffic,renca,calle de servicio sur,1748968654000
police,,providencia,luis thayer ojeda,1748968655000
jam,jam_stand_still_traffic,las condes,alonso de córdova / kennedy > oriente,1748968656000
police,,"malloco, peñaflor",av. balmaceda,1748968685000
police,,santa rosa de chena,la pirámide,1748968673000
police,,san miguel,av. departamental,1748968681000
police,,puente alto,av. domingo tocornal,1748968666000
jam,jam_stand_still_traffic,puente alto,av. jorge ross ossa,1748968664000
chit_chat,,independencia,echeverría,1748968715000
jam,jam_heavy_traffic,maipú,av. américo vespucio,1748968708000
hazard,hazard_on_road,las condes,av. cristóbal colón,1748968698000
police,,ñuñoa,presidente josé batlle y ordóñez,1748968693000
jam,jam_stand_still_traffic,santiago,av. santa rosa,1748968711000
police,,"malloco, peñaflor",av. balmaceda,1748968718000
jam,jam_stand_still_traffic,calera de tango,av. calera de tango,1748968721000
hazard,hazard_on_road_construction,,autopista central,1748968723000
jam,jam_heavy_traffic,la florida,gerónimo de alderete,1748968725000
police,,lampa,barros luco,1748968745000
police,,quilicura,,1748968749000
jam,jam_heavy_traffic,,autopista central,1748968741000
hazard,hazard_on_road_traffic_light_fault,maipú,av. primera transversal,1748968737000
hazard,hazard_on_road_construction,maipú,av. pajaritos,1748968735000
hazard,hazard_on_shoulder_car_stopped,ñuñoa,av. grecia,1748968756000
hazard,hazard_on_road_construction,providencia,condell,1748968724000
hazard,hazard_on_shoulder_car_stopped,santiago,moneda,1748968729000
police,,las condes,,1748968754000
jam,jam_stand_still_traffic,providencia,av. los leones,1748968746000
chit_chat,,ñuñoa,av. italia,1748968740000
chit_chat,,"malloco, peñaflor",av. balmaceda,1748968735000
police,,la granja,ernesto riquelme,1748968762000
jam,jam_stand_still_traffic,,autopista central,1748968769000
police,,pudahuel,av. san pablo,1748968799000
hazard,hazard_on_road_construction,san miguel,teresa vial,1748968782000
hazard,hazard_on_road,santiago,santa isabel,1748968768000
chit_chat,,lo barnechea,av. josé alcalde délano,1748968787000
police,,ñuñoa,av. josé pedro alessandri,1748968801000
chit_chat,,santiago,diagonal paraguay,1748968768000
police,,ñuñoa,presidente josé batlle y ordóñez,1748968787000
jam,jam_heavy_traffic,providencia,av. ricardo lyon,1748968800000
jam,jam_heavy_traffic,vitacura,av. tabancura,1748968797000
hazard,hazard_on_road,la reina,av. francisco de villagra,1748968779000
police,,providencia,girardi,1748968791000
chit_chat,,la granja,av. santa rosa,1748968809000
hazard,hazard_on_road_construction,pudahuel,av. la travesía,1748968831000
police,,santiago,av. libertador bernardo o'higgins,1748968812000
chit_chat,,lo barnechea,av. josé alcalde délano,1748968817000
hazard,hazard_on_road_construction,santiago,san diego,1748968808000
jam,jam_heavy_traffic,providencia,av. ricardo lyon,1748968821000
hazard,hazard_on_road_construction,la florida,las nalcas norte,1748968830000
police,,san miguel,fernando lazcano,1748968850000
hazard,hazard_on_road_construction,san miguel,teresa vial,1748968832000
chit_chat,,independencia,av. fermín vivaceta,1748968851000
hazard,hazard_on_shoulder_car_stopped,ñuñoa,av. irarrázaval,1748968840000
jam,jam_heavy_traffic,las condes,av. manquehue,1748968852000
hazard,hazard_on_shoulder_car_stopped,vitacura,av. tabancura,1748968843000
hazard,hazard_on_road_construction,providencia,av. eliodoro yáñez,1748968854000
jam,jam_stand_still_traffic,providencia,av. eliodoro yáñez,1748968842000
police,,"malloco, peñaflor",av. balmaceda,1748968870000
police,,maipú,carlos reyes corona,1748968866000
chit_chat,,san joaquín,av. departamental,1748968862000
hazard,hazard_on_road_construction,santiago,hermanos amunátegui,1748968877000
hazard,hazard_on_shoulder_car_stopped,,ruta 68,1748968874000
jam,jam_heavy_traffic,,autopista central,1748968896000
police,,estación central,santa petronila,1748968880000
jam,,quilicura,blanco encalada,1748968895000
hazard,hazard_on_road_traffic_light_fault,independencia,av. fermín vivaceta,1748968889000
hazard,hazard_on_shoulder_car_stopped,providencia,av. pocuro,1748968883000
hazard,hazard_on_road_construction,vitacura,vía aurora,1748968888000
hazard,hazard_on_road_pot_hole,macul,av. dr. amador neghme rodríguez,1748968897000
hazard,hazard_on_road_construction,las condes,hernando de magallanes,1748968870000
hazard,hazard_on_road_construction,recoleta,av. perú,1748968872000
jam,jam_stand_still_traffic,providencia,av. los leones,1748968891000
hazard,hazard_on_road_pot_hole,padre hurtado,,1748968897000
police,,maipú,carlos reyes corona,1748968877000
police,,san joaquín,av. departamental,1748968898000
jam,,lampa,av. presidente eduardo frei montalva,1748968898000
police,,santiago,av. libertador bernardo o'higgins,1748968922000
jam,,quilicura,blanco encalada,1748968924000
jam,,santiago,viel,1748968902000
police,,santiago,agustinas,1748968926000
jam,jam_stand_still_traffic,independencia,la primavera,1748968900000
jam,jam_stand_still_traffic,providencia,av. el bosque,1748968932000
hazard,hazard_on_shoulder_car_stopped,,autopista central - eje gral. velásquez,1748968944000
hazard,hazard_on_road_construction,san bernardo,av. portales,1748968965000
hazard,hazard_on_road,la granja,sargento aldea,1748968958000
police,,providencia,av. francisco bilbao,1748968991000
jam,jam_heavy_traffic,peñalolén,av. américo vespucio,1748968979000
police,,recoleta,av. juan cristóbal,1748968989000
police,,las condes,av. francisco bilbao,1748968994000
police,,santiago,purísima puente poniente,1748968973000
chit_chat,,santiago,av. cardenal josé maría caro,1748968990000
jam,jam_heavy_traffic,las condes,av. américo vespucio sur,1748968970000
hazard,hazard_on_shoulder_car_stopped,la cisterna,av. lo espejo,1748968969000
police,,la florida,maría elena,1748968998000
police,,quilicura,,1748969010000
hazard,hazard_on_road_pot_hole,,ruta 5 norte,1748968999000
jam,jam_stand_still_traffic,chicureo,camino chicureo,1748969010000
police,,quinta normal,pasaje j,1748969001000
jam,jam_heavy_traffic,ñuñoa,av. irarrázaval,1748969014000
jam,jam_heavy_traffic,ñuñoa,av. campo de deportes,1748969019000
police,,la granja,sargento aldea,1748969014000
jam,jam_heavy_traffic,puente alto,av. domingo tocornal,1748969013000
police,,lampa,,1748969036000
jam,jam_stand_still_traffic,santiago,av. manuel rodríguez,1748969042000
police,,independencia,av. domingo santa maría,1748969045000
police,,pudahuel,av. teniente luis cruz martínez,1748969032000
hazard,hazard_on_shoulder_car_stopped,,autopista central,1748969045000
jam,jam_stand_still_traffic,providencia,av. el bosque,1748969027000
police,,providencia,av. suecia,1748969044000
road_closed,,peñalolén,av. quilín norte,1748969050000
police,,providencia,carlos antúnez,1748969032000
road_closed,,peñalolén,av. quilín norte,1748968150000
jam,,ñuñoa,av. irarrázaval,1748969051000
jam,jam_stand_still_traffic,providencia,av. vicuña mackenna,1748969048000
jam,jam_stand_still_traffic,peñaflor,21 de mayo,1748969059000
police,,calera de tango,condominio los jesuitas,1748969042000
hazard,hazard_on_shoulder_car_stopped,,autopista vespucio sur,1748969055000
hazard,hazard_on_road_construction,la islita,av. balmaceda,1748969039000
jam,jam_stand_still_traffic,las condes,av. el bosque norte,1748969079000
hazard,hazard_on_road_object,providencia,av. tobalaba,1748969075000
jam,,ñuñoa,juan sabaj,1748969064000
hazard,hazard_on_road_construction,calera de tango,santa inés,1748969077000
hazard,hazard_on_shoulder_car_stopped,,ruta 57 ch / autopista los libertadores,1748969098000
police,,independencia,escanilla,1748969115000
hazard,hazard_on_shoulder_car_stopped,santiago,tarapacá,1748969103000
hazard,hazard_on_road_construction,ñuñoa,av. irarrázaval,1748969115000
jam,jam_stand_still_traffic,providencia,av. providencia,1748969114000
police,,recoleta,av. recoleta,1748969095000
jam,jam_stand_still_traffic,ñuñoa,,1748969099000
jam,jam_stand_still_traffic,,autopista vespucio norte,1748969087000
jam,jam_heavy_traffic,la reina,av. francisco bilbao,1748969117000
chit_chat,,san miguel,centenario de san miguel,1748969114000
jam,jam_heavy_traffic,providencia,av. providencia,1748969147000
hazard,hazard_on_road_construction,ñuñoa,,1748969137000
hazard,hazard_on_shoulder_car_stopped,ñuñoa,av. irarrázaval,1748969130000
chit_chat,,,autopista central,1748969123000
police,,,autopista vespucio norte,1748969169000
hazard,hazard_on_shoulder_car_stopped,santiago,av. santa maría,1748969159000
jam,jam_heavy_traffic,ñuñoa,general bustamante,1748969148000
police,,providencia,av. providencia,1748969148000
jam,jam_stand_still_traffic,las condes,av. el bosque norte,1748969148000
chit_chat,,las condes,edipo rey,1748969160000
hazard,hazard_weather,providencia,av. tobalaba,1748969164000
jam,jam_stand_still_traffic,providencia,carlos antúnez,1748969163000
police,,recoleta,av. el salto,1748969174000
hazard,hazard_on_shoulder_car_stopped,,autopista central,1748969159000
chit_chat,,santiago,av. libertador bernardo o'higgins,1748969196000
hazard,hazard_on_road_construction,maipú,av. pajaritos,1748969195000
jam,jam_heavy_traffic,,autopista central,1748969201000
hazard,hazard_on_shoulder_car_stopped,estación central,obispo manuel umaña,1748969188000
hazard,hazard_on_road_construction,ñuñoa,av. irarrázaval,1748969203000
police,,lo barnechea,,1748969189000
jam,jam_stand_still_traffic,la reina,retorno,1748969188000
hazard,hazard_on_road_object,,autopista central,1748969212000
jam,jam_stand_still_traffic,las condes,isidora goyenechea,1748969216000
jam,jam_stand_still_traffic,vitacura,av. tabancura,1748969221000
jam,,providencia,av. providencia,1748969230000
jam,jam_heavy_traffic,la reina,av. francisco bilbao,1748969237000
road_closed,road_closed_event,pudahuel,paso superior enea,1748969242000
jam,jam_stand_still_traffic,providencia,av. tobalaba,1748969261000
jam,jam_stand_still_traffic,santiago,san isidro,1748969262000
hazard,hazard_on_road_construction,ñuñoa,av. simón bolívar,1748969247000
jam,jam_stand_still_traffic,las condes,av. vitacura,1748969254000
police,,lo barnechea,,1748969258000
hazard,hazard_on_road,la florida,av. la florida,1748969264000
police,,santiago,herrera,1748969276000
jam,jam_stand_still_traffic,,ruta g-16,1748969285000
police,,santiago,av. cardenal josé maría caro,1748969275000
police,,ñuñoa,ortúzar,1748969303000
chit_chat,,providencia,av. pocuro,1748969303000
chit_chat,,santiago,placer,1748969286000
police,,lo barnechea,av. la dehesa,1748969298000
hazard,hazard_on_shoulder_car_stopped,,autopista central,1748969321000
jam,jam_stand_still_traffic,vitacura,av. vitacura,1748969334000
hazard,hazard_on_road_construction,la reina,av. larraín,1748969322000
hazard,hazard_on_road,la reina,padre hurtado,1748969308000
police,,la granja,sargento aldea,1748969320000
hazard,hazard_on_shoulder_car_stopped,,ruta 57 ch / autopista los libertadores,1748969347000
hazard,hazard_on_road_pot_hole,maipú,av. argentina,1748969358000
police,,lo barnechea,av. la dehesa,1748969367000
police,,las condes,av. presidente sebastián piñera echenique,1748969368000
jam,,santiago,av. manuel antonio matta,1748969360000
hazard,hazard_on_shoulder_car_stopped,providencia,av. francisco bilbao,1748969346000
hazard,hazard_on_shoulder_car_stopped,macul,rodrigo de araya,1748969360000
jam,jam_stand_still_traffic,recoleta,purísima,1748969337000
road_closed,road_closed_event,pudahuel,av. américo vespucio,1748969385000
jam,jam_heavy_traffic,,salida 5b-s > salvador allende,1748969366000
hazard,hazard_on_road_construction,ñuñoa,av. ossa,1748969371000
police,,las condes,av. presidente riesco,1748969377000
police,,san miguel,av. carlos valdovinos,1748969378000
chit_chat,,recoleta,av. recoleta,1748969373000
hazard,hazard_on_shoulder_car_stopped,providencia,av. el bosque,1748969391000
hazard,hazard_on_road,san joaquín,haydn,1748969381000
hazard,hazard_on_road_pot_hole,renca,juana atala de hirmas,1748969402000
police,,,autopista central,1748969420000
hazard,hazard_on_shoulder_car_stopped,renca,av. dorsal,1748969417000
police,,lo barnechea,av. josé alcalde délano,1748969419000
jam,jam_heavy_traffic,las condes,av. américo vespucio norte,1748969419000
hazard,hazard_on_shoulder_car_stopped,san bernardo,eucaliptus,1748969422000
jam,jam_heavy_traffic,san bernardo,barros arana,1748969403000
hazard,hazard_on_road_pot_hole,la florida,av. américo vespucio,1748969410000
hazard,hazard_on_road_construction,puente alto,av. salvador allende,1748969415000
police,,la granja,tacora,1748969431000
police,,maipú,av. simón bolívar,1748969455000
jam,jam_heavy_traffic,renca,av. presidente eduardo frei montalva,1748969448000
hazard,hazard_on_shoulder_car_stopped,pedro aguirre cerda,av. isabel riquelme,1748969445000
police,,lo barnechea,,1748969454000
police,,,autopista vespucio oriente,1748969445000
hazard,hazard_on_shoulder_car_stopped,la reina,av. américo vespucio,1748969442000
hazard,hazard_on_shoulder_car_stopped,ñuñoa,av. irarrázaval,1748969437000
chit_chat,,ñuñoa,presidente josé batlle y ordóñez,1748969442000
jam,jam_stand_still_traffic,,autopista vespucio norte,1748969437000
accident,,san bernardo,eucaliptus,1748969445000
accident,,lo espejo,av. presidente josé joaquín prieto vial,1748969449000
jam,jam_stand_still_traffic,,autopista central,1748969481000
chit_chat,,recoleta,av. recoleta,1748969482000
chit_chat,,providencia,av. francisco bilbao,1748969484000
police,,san miguel,av. carlos valdovinos,1748969474000
police,,providencia,nueva de lyon,1748969481000
jam,jam_stand_still_traffic,vitacura,av. nueva costanera,1748969466000
police,,la granja,av. sur,1748969494000
hazard,hazard_on_shoulder_car_stopped,,ruta 68,1748969493000
jam,,huechuraba,av. américo vespucio,1748969502000
police,,quilicura,josé francisco vergara,1748969509000
police,,santiago,placer,1748969509000
road_closed,road_closed_event,peñalolén,av. quilín norte,1748969521000
road_closed,road_closed_event,peñalolén,av. quilín norte,1748969522000
jam,jam_stand_still_traffic,santiago,av. cardenal josé maría caro,1748969506000
jam,,lo espejo,av. presidente josé joaquín prieto vial,1748969517000
police,,maipú,av. maipú,1748969524000
police,,san bernardo,eyzaguirre,1748969504000
police,,san joaquín,av. departamental,1748969513000
hazard,hazard_on_shoulder_car_stopped,,ruta 78,1748969522000
hazard,hazard_on_shoulder_car_stopped,lampa,acceso ruta 5 > santiago,1748969538000
chit_chat,,santiago,av. almirante blanco encalada,1748969547000
chit_chat,,pedro aguirre cerda,av. padre alberto hurtado,1748969534000
chit_chat,,independencia,carrión,1748969530000
jam,jam_heavy_traffic,las condes,av. américo vespucio norte,1748969552000
police,,la granja,av. sur,1748969552000
police,,la florida,el membrillar,1748969531000
jam,jam_heavy_traffic,,autopista central,1748969574000
hazard,hazard_on_road_construction,santiago,portugal,1748969567000
police,,santa rosa de chena,4ª transversal,1748969571000
police,,la florida,av. trinidad,1748969570000
jam,jam_stand_still_traffic,la florida,av. departamental,1748969585000
chit_chat,,la florida,av. la florida lateral,1748969570000
police,,san joaquín,av. departamental,1748969579000
police,,,autopista central,1748969571000
hazard,hazard_on_shoulder_car_stopped,renca,av. presidente eduardo frei montalva,1748969605000
hazard,hazard_on_shoulder_car_stopped,pudahuel,diagonal de los lagos,1748969611000
hazard,hazard_on_road_pot_hole,pudahuel,isla grande de tierra del fuego,1748969605000
hazard,hazard_on_road_construction,ñuñoa,av. ossa,1748969600000
police,police_hiding,santiago,san diego,1748969589000
hazard,hazard_on_shoulder_car_stopped,la reina,hannover,1748969590000
jam,jam_stand_still_traffic,vitacura,av. alonso de córdova,1748969591000
accident,accident_major,santiago,purísima puente poniente,1748969588000
hazard,hazard_on_road_construction,san miguel,llico,1748969613000
police,,padre hurtado,segunda transversal,1748969594000
hazard,hazard_on_shoulder_car_stopped,san ramón,av. américo vespucio,1748969610000
police,,san miguel,av. santa rosa,1748969597000
hazard,hazard_on_road_construction,santiago,chacabuco,1748969634000
police,,recoleta,loreto,1748969640000
jam,jam_heavy_traffic,macul,av. vicuña mackenna,1748969627000
hazard,hazard_on_road_construction,ñuñoa,av. ossa,1748969639000
police,,ñuñoa,presidente josé batlle y ordóñez,1748969628000
police,,providencia,manuel montt,1748969629000
jam,jam_heavy_traffic,las condes,av. américo vespucio norte,1748969616000
hazard,hazard_on_road_construction,paine,av. general baquedano,1748969627000
hazard,hazard_on_road,chicureo,los ingleses,1748969655000
jam,jam_heavy_traffic,san miguel,gran avenida josé miguel carrera,1748969661000
jam,jam_heavy_traffic,macul,av. vicuña mackenna,1748969664000
hazard,hazard_on_road_pot_hole,macul,av. escuela agrícola,1748969663000
jam,jam_heavy_traffic,las condes,av. las condes,1748969663000
jam,,las condes,av. manquehue,1748969647000
hazard,hazard_on_road_construction,,ruta g-260 / camino a rinconada,1748969661000
hazard,hazard_on_road_construction,la cisterna,av. lo ovalle,1748969669000
police,,,ruta 57 ch / autopista los libertadores,1748969683000
police,,santiago,hermanos amunátegui,1748969687000
hazard,hazard_weather,,autopista vespucio norte,1748969695000
police,,pedro aguirre cerda,av. padre alberto hurtado,1748969678000
jam,jam_stand_still_traffic,estación central,san alberto hurtado,1748969683000
hazard,hazard_on_road_pot_hole,macul,av. escuela agrícola,1748969693000
jam,jam_heavy_traffic,santiago,portugal,1748969677000
jam,jam_heavy_traffic,macul,av. vicuña mackenna,1748969688000
chit_chat,,,autopista vespucio norte,1748969702000
jam,jam_heavy_traffic,san bernardo,san josé,1748969698000
hazard,hazard_on_road_pot_hole,,ruta 76 / camino a melipilla,1748969692000
hazard,hazard_on_road_construction,la cisterna,zurich,1748969695000
police,,la florida,av. trinidad,1748969689000
police,,,ruta 79,1748969688000
police,police_hiding,santiago,franklin,1748969726000
jam,jam_stand_still_traffic,las condes,av. manquehue norte,1748969733000
hazard,hazard_on_road_pot_hole,macul,av. escuela agrícola,1748969732000
hazard,hazard_on_shoulder_car_stopped,santiago,portugal,1748969729000
jam,jam_stand_still_traffic,chicureo,los ingleses,1748969762000
hazard,hazard_on_road_construction,quinta normal,nueva imperial,1748969754000
jam,jam_heavy_traffic,las condes,cerro colorado,1748969758000
police,,peñalolén,av. egaña,1748969755000
jam,jam_heavy_traffic,santiago,portugal,1748969765000
police,,providencia,av. suecia,1748969738000
police,,santa rosa de chena,andrés bello,1748969759000
police,,san ramón,doñihue,1748969745000
jam,jam_stand_still_traffic,,ruta 5 norte,1748969796000
hazard,hazard_on_shoulder_car_stopped,las condes,camino otoñal,1748969790000
hazard,hazard_on_road_construction,las condes,camino otoñal,1748969775000
police,,las condes,flor de azucena,1748969780000
hazard,hazard_on_road_object,lo barnechea,camino santa teresa de los andes,1748969783000
jam,jam_heavy_traffic,recoleta,las torres,1748969798000
hazard,hazard_on_shoulder_car_stopped,,autopista costanera norte,1748969795000
police,,las condes,los militares,1748969789000
police,,la florida,av. diego portales,1748969799000
hazard,hazard_on_shoulder_car_stopped,,acceso a autopista costanera norte > oriente,1748969805000
police,,padre hurtado,los silos,1748969829000
police,,calera de tango,santa inés,1748969837000
hazard,hazard_on_shoulder_car_stopped,,acceso a av. general velásquez > sur,1748969823000
police,,la florida,rojas magallanes,1748969823000
police,,la florida,av. diego portales,1748969830000
police,,la florida,av. diego portales,1748969818000
police,,independencia,escanilla,1748969832000
chit_chat,,santiago,purísima puente oriente,1748969846000
police,police_hiding,santiago,viel,1748969878000
jam,jam_heavy_traffic,,ruta g-16,1748969889000
police,,quilicura,lo marcoleta,1748969890000
jam,,santiago,av. manuel antonio matta,1748969867000
jam,jam_stand_still_traffic,vitacura,av. américo vespucio norte,1748969873000
hazard,hazard_on_road_pot_hole,ñuñoa,los alerces,1748969878000
jam,jam_heavy_traffic,santiago,av. manuel antonio matta,1748969866000
jam,jam_heavy_traffic,,autopista vespucio sur,1748969875000
accident,,puente alto,san enrique,1748969905000
jam,,recoleta,palestina,1748969903000
police,,las condes,gertrudis echeñique,1748969928000
jam,jam_heavy_traffic,santiago,portugal,1748969911000
chit_chat,,san miguel,av. presidente josé joaquín prieto vial,1748969908000
police,,puente alto,caletera acceso sur,1748969916000
police,police_hiding,santiago,viel,1748969951000
jam,jam_heavy_traffic,providencia,av. providencia,1748969959000
police,,cerrillos,av. américo vespucio,1748969949000
jam,jam_stand_still_traffic,san bernardo,almirante riveros,1748969956000
jam,,recoleta,palestina,1748969977000
accident,accident_major,,autopista costanera norte,1748969965000
jam,jam_heavy_traffic,providencia,av. costanera andrés bello,1748969979000
hazard,hazard_on_shoulder_car_stopped,las condes,av. las condes,1748969972000
hazard,hazard_on_shoulder_car_stopped,santiago,portugal,1748969974000
police,,san bernardo,balmaceda,1748969981000
chit_chat,,estación central,san alberto hurtado,1748970009000
police,,santiago,av. san pablo,1748970003000
road_closed,road_closed_event,quinta normal,mapocho,1748970012000
chit_chat,,santiago,general jofré,1748970008000
jam,,recoleta,palestina,1748970020000
jam,,san bernardo,av. padre hurtado,1748970013000
police,,la cisterna,av. goycolea,1748970026000
hazard,hazard_on_road_pot_hole,maipú,san martín,1748970006000
police,,la cisterna,av. américo vespucio,1748970025000
hazard,hazard_on_shoulder_car_stopped,la florida,av. vicuña mackenna,1748970026000
police,,lampa,,1748970023000
hazard,hazard_on_shoulder_car_stopped,santiago,av. manuel rodríguez,1748970049000
hazard,hazard_on_road_construction,ñuñoa,av. simón bolívar,1748970038000
hazard,hazard_on_shoulder_car_stopped,santiago,portugal,1748970041000
jam,jam_stand_still_traffic,las condes,nuestra señora del rosario,1748969600000
hazard,hazard_on_road_pot_hole,san bernardo,av. ochagavía,1748970032000
police,,calera de tango,santa inés,1748970056000
police,,calera de tango,santa inés,1748970050000
hazard,hazard_on_shoulder_car_stopped,san miguel,av. departamental,1748970035000
hazard,hazard_on_shoulder_car_stopped,,ruta 68,1748970069000
hazard,hazard_on_road_object,,autopista central,1748970059000
police,,santiago,av. almirante blanco encalada,1748970066000
hazard,hazard_on_shoulder_car_stopped,santiago,portugal,1748970075000
jam,jam_stand_still_traffic,providencia,puente nueva tobalaba,1748970079000
police,,la florida,av. san josé de la estrella,1748970069000
police,,puente alto,av. el peral,1748970090000
police,,puente alto,av. luis matte larraín,1748970087000
police,,la florida,santa amalia,1748970079000
hazard,hazard_on_road_construction,,juan pablo ii,1748970109000
police,,lo prado,av. general óscar bonilla,1748970100000
hazard,hazard_on_shoulder_car_stopped,,autopista costanera norte,1748970097000
police,,estación central,arturo prat,1748970111000
hazard,hazard_on_shoulder_car_stopped,santiago,santo domingo,1748970106000
hazard,hazard_on_road_pot_hole,ñuñoa,av. ricardo lyon,1748969658000
police,,peñaflor,porvenir,1748970092000
hazard,hazard_on_shoulder_car_stopped,,ruta 5 norte,1748970132000
hazard,hazard_on_shoulder_car_stopped,,ruta 5 norte,1748970135000
hazard,hazard_on_road_construction,las condes,av. presidente sebastián piñera echenique,1748970121000
jam,jam_heavy_traffic,,autopista costanera norte,1748970135000
hazard,hazard_on_shoulder_car_stopped,san joaquín,av. carlos valdovinos,1748970140000
chit_chat,,santiago,eyzaguirre,1748970149000
police,,santiago,purísima,1748970139000
police,police_with_mobile_camera,lo barnechea,,1748970126000
police,,ñuñoa,av. pedro de valdivia,1748970148000
police,police_hiding,"malloco, peñaflor",gonzalo pizarro,1748970143000
police,,san bernardo,av. calera de tango,1748970128000
police,,buin,camino buin - alto jahuel,1748970161000
hazard,hazard_on_shoulder_car_stopped,,ruta 5 norte,1748970153000
police,,las condes,av. padre hurtado sur,1748970167000
hazard,hazard_on_road,la florida,,1748970172000
police,,puente alto,av. las nieves oriente,1748970179000
police,,puente alto,av. el peral,1748970188000
hazard,hazard_on_shoulder_car_stopped,,autopista vespucio norte,1748970196000
police,,quilicura,santa luisa,1748970207000
hazard,hazard_on_road_construction,san miguel,teresa vial,1748970211000
jam,jam_heavy_traffic,providencia,josé manuel infante,1748970211000
police,,,salida 15 > purísima,1748970202000
police,,la cisterna,gran avenida josé miguel carrera,1748970210000
hazard,hazard_on_shoulder_car_stopped,,autopista vespucio norte,1748970240000
road_closed,road_closed_event,quinta normal,mapocho,1748970221000
road_closed,road_closed_event,quinta normal,mapocho,1748970224000
chit_chat,,ñuñoa,av. alcalde eduardo castillo velasco,1748970223000
police,,providencia,luis thayer ojeda,1748970238000
hazard,hazard_on_road_object,providencia,av. nueva providencia,1748970216000
jam,jam_stand_still_traffic,san bernardo,paso inferior las acacias,1748970220000
police,,san bernardo,américa,1748970223000
road_closed,road_closed_event,la florida,av. trinidad,1748970223000
jam,,conchalí,calle g,1748970247000
jam,jam_stand_still_traffic,providencia,av. nueva providencia,1748970273000
hazard,hazard_on_shoulder_car_stopped,san bernardo,barros arana,1748970263000
chit_chat,,puente alto,,1748970282000
jam,jam_heavy_traffic,recoleta,artesanos,1748970279000
jam,jam_heavy_traffic,recoleta,lircay,1748970306000
hazard,hazard_on_road_construction,ñuñoa,av. salvador,1748970296000
jam,jam_stand_still_traffic,maipú,av. central gonzalo pérez llona,1748970311000
police,,maipú,pangal,1748970301000
chit_chat,,la florida,santa amalia,1748970290000
hazard,hazard_on_road_pot_hole,,av. suiza,1748970325000
jam,jam_stand_still_traffic,vitacura,av. alonso de córdova interior,1748970340000
jam,jam_stand_still_traffic,providencia,av. providencia,1748970314000
hazard,hazard_on_road_pot_hole,ñuñoa,av. salvador,1748970319000
jam,jam_heavy_traffic,peñalolén,av. el valle,1748970330000
jam,jam_heavy_traffic,las condes,av. manquehue norte,1748969710000
